"category,""over_represented_pvalue"",""under_represented_pvalue"",""numDEInCat"",""numInCat"",""term"",""ontology"""
"GO:2000170,0.00627462496029751,0.999806112528993,2,8,""positive regulation of peptidyl-cysteine S-nitrosylation"",""BP"""
"GO:0002446,0.00656969981761765,0.999786248101494,2,9,""neutrophil mediated immunity"",""BP"""
"GO:0050830,0.0070439359579226,0.998711678266694,5,89,""defense response to Gram-positive bacterium"",""BP"""
"GO:0043152,0.00736516474876423,0.999341963625448,3,32,""induction of bacterial agglutination"",""BP"""
"GO:0014910,0.00747105488193156,0.999730013151598,2,11,""regulation of smooth muscle cell migration"",""BP"""
"GO:0019222,0.00763586367163624,0.998915077094472,4,64,""regulation of metabolic process"",""BP"""
"GO:0002070,0.0077868250717976,0.999712492016907,2,11,""epithelial cell maturation"",""BP"""
"GO:0060047,0.00800345982840211,0.999268007659386,3,29,""heart contraction"",""BP"""
"GO:0042494,0.00812420930788813,0.999698504416408,2,10,""detection of bacterial lipoprotein"",""BP"""
"GO:0034616,0.00863009671437848,0.99966386837141,2,11,""response to laminar fluid shear stress"",""BP"""
"GO:0015755,0.00867414385694286,0.999666940047979,2,10,""fructose transmembrane transport"",""BP"""
"GO:0042447,0.00873395050007387,0.999663442031666,2,10,""hormone catabolic process"",""BP"""
"GO:0002697,0.00880358512642363,1,1,1,""regulation of immune effector process"",""BP"""
"GO:0006801,0.00929507053350991,0.999091117474498,3,35,""superoxide metabolic process"",""BP"""
"GO:0034772,0.0093371450388076,1,1,1,""histone H4-K20 dimethylation"",""BP"""
"GO:0072330,0.00949356506294305,0.999597671281184,2,14,""monocarboxylic acid biosynthetic process"",""BP"""
"GO:0030323,0.0096509715335157,0.999608242716215,2,10,""respiratory tube development"",""BP"""
"GO:1904045,0.0103952514727322,0.999547714914109,2,12,""cellular response to aldosterone"",""BP"""
"GO:0015670,0.0113297174208367,0.999478484544119,2,13,""carbon dioxide transport"",""BP"""
"GO:0043508,0.011578287904042,0.999460958791138,2,13,""negative regulation of JUN kinase activity"",""BP"""
"GO:0030850,0.0116562025930465,0.999445668877133,2,15,""prostate gland development"",""BP"""
"GO:1900426,0.0116977283457338,0.9994586487665,2,12,""positive regulation of defense response to bacterium"",""BP"""
"GO:0006163,0.0126000601296437,1,1,1,""purine nucleotide metabolic process"",""BP"""
"GO:0015964,0.0126000601296437,1,1,1,""diadenosine triphosphate catabolic process"",""BP"""
"GO:0061844,0.0128890188461355,0.998572388907669,3,38,""antimicrobial humoral immune response mediated by antimicrobial peptide"",""BP"""
"GO:1903034,0.0130342967513825,0.999342781751773,2,15,""regulation of response to wounding"",""BP"""
"GO:0001676,0.0132590060446076,0.998506877649812,3,43,""long-chain fatty acid metabolic process"",""BP"""
"GO:1902991,0.0137749487468296,0.999290805788127,2,14,""regulation of amyloid precursor protein catabolic process"",""BP"""
"GO:0048286,0.0141401371764727,0.998372934849259,3,41,""lung alveolus development"",""BP"""
"GO:0003106,0.0154314705172213,1,1,1,""negative regulation of glomerular filtration by angiotensin"",""BP"""
"GO:0014895,0.0154314705172213,1,1,1,""smooth muscle hypertrophy"",""BP"""
"GO:0017004,0.0154314705172213,1,1,1,""cytochrome complex assembly"",""BP"""
"GO:1904845,0.0154314705172213,1,1,1,""cellular response to L-glutamine"",""BP"""
"GO:0043111,0.015630969053447,1,1,1,""replication fork arrest"",""BP"""
"GO:1904659,0.0164325606151957,0.999064070031077,2,15,""glucose transmembrane transport"",""BP"""
"GO:0070943,0.0165532391702445,1,1,1,""neutrophil mediated killing of symbiont cell"",""BP"""
"GO:0009151,0.0178009461614908,1,1,1,""purine deoxyribonucleotide metabolic process"",""BP"""
"GO:0009182,0.0178009461614908,1,1,1,""purine deoxyribonucleoside diphosphate metabolic process"",""BP"""
"GO:0009216,0.0178009461614908,1,1,1,""purine deoxyribonucleoside triphosphate biosynthetic process"",""BP"""
"GO:0050435,0.0179569148336678,0.998928178256095,2,15,""amyloid-beta metabolic process"",""BP"""
"GO:0061098,0.0181080249353419,0.9989067300699,2,16,""positive regulation of protein tyrosine kinase activity"",""BP"""
"GO:0034220,0.0187760772285758,0.994181676305472,7,211,""ion transmembrane transport"",""BP"""
"GO:0003084,0.0198002137019287,0.998738974526253,2,17,""positive regulation of systemic arterial blood pressure"",""BP"""
"GO:0032691,0.0204769824110467,0.997268914673854,3,51,""negative regulation of interleukin-1 beta production"",""BP"""
"GO:0032102,0.0210798248546055,0.997155561549574,3,52,""negative regulation of response to external stimulus"",""BP"""
"GO:0030036,0.0213539631486829,0.994822422511544,5,125,""actin cytoskeleton organization"",""BP"""
"GO:1903553,0.0213609814101369,0.999884934620374,1,2,""positive regulation of extracellular exosome assembly"",""BP"""
"GO:0010815,0.0213816538197805,0.998599950036922,2,15,""bradykinin catabolic process"",""BP"""
"GO:0006725,0.0216751323591093,0.998530694756622,2,20,""cellular aromatic compound metabolic process"",""BP"""
"GO:0050789,0.0219352468278265,0.992977929520328,7,236,""regulation of biological process"",""BP"""
"GO:0007154,0.0222234543981186,0.993633678466012,6,195,""cell communication"",""BP"""
"GO:0018958,0.0222960506823859,0.998487580313361,2,17,""phenol-containing compound metabolic process"",""BP"""
"GO:0060347,0.0236666428535754,0.998318867177805,2,20,""heart trabecula formation"",""BP"""
"GO:0045137,0.0236744378339864,0.9998584943741,1,2,""development of primary sexual characteristics"",""BP"""
"GO:2000302,0.0245310340907246,0.999848002688207,1,2,""positive regulation of synaptic vesicle exocytosis"",""BP"""
"GO:0070485,0.0248521228643407,0.999843972061319,1,2,""dehydro-D-arabinono-1,4-lactone biosynthetic process"",""BP"""
"GO:0071333,0.0252718723715894,0.994845538156594,4,86,""cellular response to glucose stimulus"",""BP"""
"GO:0044260,0.0252763140501139,0.994830715825185,4,96,""cellular macromolecule metabolic process"",""BP"""
"GO:0071548,0.0253581510923483,0.998138999193694,2,19,""response to dexamethasone"",""BP"""
"GO:0007565,0.0268074263736841,0.996049494256658,3,48,""female pregnancy"",""BP"""
"GO:0071702,0.0275419721566742,0.994215459235765,4,98,""organic substance transport"",""BP"""
"GO:0051247,0.0276848886916308,0.997861506148553,2,20,""positive regulation of protein metabolic process"",""BP"""
"GO:0061368,0.027720854247369,0.999805586937806,1,2,""behavioral response to formalin induced pain"",""BP"""
"GO:0006694,0.0279081384874993,0.995820180146452,3,49,""steroid biosynthetic process"",""BP"""
"GO:0072488,0.0280344921436725,0.997811619030916,2,21,""ammonium transmembrane transport"",""BP"""
"GO:0046325,0.0281754492133464,0.99779469336412,2,21,""negative regulation of glucose import"",""BP"""
"GO:0046330,0.0284569210232016,0.993987326293476,4,83,""positive regulation of JNK cascade"",""BP"""
"GO:0006775,0.0289172613459884,0.999788313798311,1,2,""fat-soluble vitamin metabolic process"",""BP"""
"GO:0019510,0.0293002940864136,0.999710647362572,1,3,""S-adenosylhomocysteine catabolic process"",""BP"""
"GO:0042755,0.0300769686242861,0.99756184681741,2,21,""eating behavior"",""BP"""
"GO:0072332,0.0321092315894816,0.997337731646891,2,18,""intrinsic apoptotic signaling pathway by p53 class mediator"",""BP"""
"GO:0002853,0.0325361227106533,0.99973151752972,1,2,""negative regulation of T cell mediated cytotoxicity directed against tumor cell target"",""BP"""
"GO:0009653,0.0326209104549588,0.987690067458543,8,328,""anatomical structure morphogenesis"",""BP"""
"GO:0046222,0.0329738339071086,0.999724183091448,1,2,""aflatoxin metabolic process"",""BP"""
"GO:0030307,0.0333782339589097,0.992575385806904,4,91,""positive regulation of cell growth"",""BP"""
"GO:0034197,0.0334900071564778,0.999715404730763,1,2,""triglyceride transport"",""BP"""
"GO:0001666,0.0335954278243166,0.989435492354986,6,185,""response to hypoxia"",""BP"""
"GO:0010455,0.0336700465884689,0.99971230996221,1,2,""positive regulation of cell fate commitment"",""BP"""
"GO:0042421,0.0337856902261386,0.999614488830439,1,3,""norepinephrine biosynthetic process"",""BP"""
"GO:0010118,0.0338638717743226,0.999708959192123,1,2,""stomatal movement"",""BP"""
"GO:0002282,0.0340709640200064,0.999705357252951,1,2,""microglial cell activation involved in immune response"",""BP"""
"GO:0006898,0.0342757420152564,0.992310820689706,4,92,""receptor-mediated endocytosis"",""BP"""
"GO:1903188,0.0347103440697155,0.999694094295399,1,2,""positive regulation of vitellogenesis"",""BP"""
"GO:1905691,0.0347103440697155,0.999694094295399,1,2,""lipid droplet disassembly"",""BP"""
"GO:0003015,0.0350184532546034,0.999585609453518,1,3,""heart process"",""BP"""
"GO:0097066,0.0351217225571275,0.996904559789598,2,21,""response to thyroid hormone"",""BP"""
"GO:0070989,0.0352852480488159,0.996862091059246,2,23,""oxidative demethylation"",""BP"""
"GO:0045907,0.0358211658806014,0.996771031265339,2,25,""positive regulation of vasoconstriction"",""BP"""
"GO:0009636,0.0378057033500224,0.991243785220405,4,98,""response to toxic substance"",""BP"""
"GO:0033353,0.037837327570932,0.99945561803202,1,4,""S-adenosylmethionine cycle"",""BP"""
"GO:1903409,0.0381434031680732,0.999507647996936,1,3,""reactive oxygen species biosynthetic process"",""BP"""
"GO:0010574,0.040174982747741,0.999453295467735,1,3,""regulation of vascular endothelial growth factor production"",""BP"""
"GO:0048468,0.0407289241282873,0.990312052742889,4,116,""cell development"",""BP"""
"GO:0003400,0.0407944776644725,0.999436144941966,1,3,""regulation of COPII vesicle coating"",""BP"""
"GO:0009651,0.0418869725095187,0.995889483852545,2,25,""response to salt stress"",""BP"""
"GO:0051279,0.0424242355125699,0.995788793423181,2,27,""regulation of release of sequestered calcium ion into cytosol"",""BP"""
"GO:0034771,0.042465425458684,0.999388538731601,1,3,""histone H4-K20 monomethylation"",""BP"""
"GO:0032435,0.0427914109447528,0.995762342661804,2,24,""negative regulation of proteasomal ubiquitin-dependent protein catabolic process"",""BP"""
"GO:0060346,0.0434909932804476,0.995643678508989,2,25,""bone trabecula formation"",""BP"""
"GO:0050829,0.0442971162227613,0.989199067098715,4,106,""defense response to Gram-negative bacterium"",""BP"""
"GO:0015771,0.0449816754692661,0.999177445755908,1,5,""trehalose transport"",""BP"""
"GO:0072156,0.0455874340349584,0.999207130913488,1,4,""distal tubule morphogenesis"",""BP"""
"GO:1901570,0.0462814960373728,0.999272428885091,1,3,""fatty acid derivative biosynthetic process"",""BP"""
"GO:0033864,0.0463529598866381,0.999270156209401,1,3,""positive regulation of NAD(P)H oxidase activity"",""BP"""
"GO:0048785,0.0464957006938489,0.999174899090635,1,4,""hatching gland development"",""BP"""
"GO:0019402,0.0465630902721702,0.999263452722926,1,3,""galactitol metabolic process"",""BP"""
"GO:0035602,0.0466386391024141,0.999169766947313,1,4,""fibroblast growth factor receptor signaling pathway involved in negative regulation of apoptotic process in bone marrow"",""BP"""
"GO:0035603,0.0466386391024141,0.999169766947313,1,4,""fibroblast growth factor receptor signaling pathway involved in hemopoiesis"",""BP"""
"GO:0035604,0.0466386391024141,0.999169766947313,1,4,""fibroblast growth factor receptor signaling pathway involved in positive regulation of cell proliferation in bone marrow"",""BP"""
"GO:0060365,0.0466386391024141,0.999169766947313,1,4,""coronal suture morphogenesis"",""BP"""
"GO:0060595,0.0466386391024141,0.999169766947313,1,4,""fibroblast growth factor receptor signaling pathway involved in mammary gland specification"",""BP"""
"GO:0060615,0.0466386391024141,0.999169766947313,1,4,""mammary gland bud formation"",""BP"""
"GO:0060480,0.0467507298685185,0.999257440268517,1,3,""lung goblet cell differentiation"",""BP"""
"GO:0007225,0.046881392416603,0.999161013794302,1,4,""patched ligand maturation"",""BP"""
"GO:0045759,0.0469119556945105,0.999252254234542,1,3,""negative regulation of action potential"",""BP"""
"GO:0090660,0.0472184988233669,0.995011291583023,2,29,""cerebrospinal fluid circulation"",""BP"""
"GO:0051089,0.0474616900566628,0.999139899699529,1,4,""constitutive protein ectodomain proteolysis"",""BP"""
"GO:0031579,0.047556668710925,0.999231331886689,1,3,""membrane raft organization"",""BP"""
"GO:0035899,0.0491134287502288,0.999179594453803,1,3,""negative regulation of blood coagulation in other organism"",""BP"""
"GO:0044398,0.0491134287502288,0.999179594453803,1,3,""envenomation resulting in induction of edema in other organism"",""BP"""
"GO:0044522,0.0491134287502288,0.999179594453803,1,3,""envenomation resulting in myocyte killing in other organism"",""BP"""
"GO:0015851,0.0492239159549068,0.999013244786342,1,5,""nucleobase transport"",""BP"""
"GO:0016020,0.000307503228991205,0.999804617879801,94,5220,""membrane"",""CC"""
"GO:0016021,0.00551999178770416,0.996260803603704,73,4163,""integral component of membrane"",""CC"""
"GO:0016935,0.00879354758607155,1,1,1,""glycine-gated chloride channel complex"",""CC"""
"GO:0097442,0.00880411733072515,1,1,1,""CA3 pyramidal cell dendrite"",""CC"""
"GO:0099512,0.00922876361490813,0.999614609661165,2,14,""supramolecular fiber"",""CC"""
"GO:0005895,0.0126786627562876,1,1,1,""interleukin-5 receptor complex"",""CC"""
"GO:0097136,0.0129191637358718,1,1,1,""Bcl-2 family protein complex"",""CC"""
"GO:0030670,0.0150437112360964,0.99738756058068,4,71,""phagocytic vesicle membrane"",""CC"""
"GO:0042589,0.015796720356883,0.998105929163015,3,41,""zymogen granule membrane"",""CC"""
"GO:0005887,0.0173767435176853,0.991218811811573,18,808,""integral component of plasma membrane"",""CC"""
"GO:0005635,0.0194968502290016,0.993911702950825,7,214,""nuclear envelope"",""CC"""
"GO:0030427,0.0198418894483583,0.99990079522832,1,2,""site of polarized growth"",""CC"""
"GO:1990761,0.0260788279597536,0.999828081080718,1,2,""growth cone lamellipodium"",""CC"""
"GO:0032280,0.0263000110455247,0.999767189218965,1,3,""symmetric synapse"",""CC"""
"GO:0030667,0.0313640726076299,0.995083527794313,3,50,""secretory granule membrane"",""CC"""
"GO:0097038,0.0333845759743397,0.997127499111365,2,22,""perinuclear endoplasmic reticulum"",""CC"""
"GO:0045211,0.035208177620309,0.990257391353443,5,144,""postsynaptic membrane"",""CC"""
"GO:0031416,0.0354705057403335,0.999680423820818,1,2,""NatB complex"",""CC"""
"GO:0043231,0.0383610451749529,0.977462509696866,22,1277,""intracellular membrane-bounded organelle"",""CC"""
"GO:0032010,0.0448468331802654,0.999317288457362,1,3,""phagolysosome"",""CC"""
"GO:0060076,0.0450493046318664,0.991803853525052,3,64,""excitatory synapse"",""CC"""
"GO:0044299,0.0456591370547242,0.999292068013412,1,3,""C-fiber"",""CC"""
"GO:0035230,0.0469535683801922,0.99915840225471,1,4,""cytoneme"",""CC"""
"GO:0020037,2.18177153413537e-10,1,20,270,""heme binding"",""MF"""
"GO:0004497,2.74540564351399e-07,0.999999959018214,14,203,""monooxygenase activity"",""MF"""
"GO:0004601,7.69380365639608e-07,0.999999932014135,9,85,""peroxidase activity"",""MF"""
"GO:0004500,5.82410245568614e-05,0.999996551863401,5,34,""dopamine beta-monooxygenase activity"",""MF"""
"GO:0016705,6.8886317936924e-05,0.999987560131873,10,177,""oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"",""MF"""
"GO:0003884,9.77139566275448e-05,0.999998503016586,3,8,""D-amino-acid oxidase activity"",""MF"""
"GO:0005506,0.00017892464320391,0.999959976399129,11,236,""iron ion binding"",""MF"""
"GO:0031711,0.00037254287979021,1,2,2,""bradykinin receptor binding"",""MF"""
"GO:0033300,0.00113772495011483,0.99995122438427,3,16,""dehydroascorbic acid transmembrane transporter activity"",""MF"""
"GO:0003887,0.00130148729801974,0.999795784620027,6,102,""DNA-directed DNA polymerase activity"",""MF"""
"GO:0016934,0.00220245775707295,0.999963753547571,2,6,""extracellularly glycine-gated chloride channel activity"",""MF"""
"GO:0001618,0.00220547222059716,0.999879651065877,3,17,""virus receptor activity"",""MF"""
"GO:0031404,0.00250137088637894,0.99995959746322,2,5,""chloride ion binding"",""MF"""
"GO:0016715,0.00261195847932877,0.999842537162316,3,24,""oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"",""MF"""
"GO:0008168,0.00270152778109844,0.999274914830202,9,211,""methyltransferase activity"",""MF"""
"GO:0042799,0.00291063954493946,0.999941682920331,2,7,""histone methyltransferase activity (H4-K20 specific)"",""MF"""
"GO:0016491,0.0030288093553602,0.998716836194249,18,665,""oxidoreductase activity"",""MF"""
"GO:0005536,0.00324023496956736,0.999790940688017,3,22,""glucose binding"",""MF"""
"GO:0035375,0.00372326556002372,0.999744505256019,3,25,""zymogen binding"",""MF"""
"GO:0003854,0.00379168973371291,0.999909639754033,2,8,""3-beta-hydroxy-delta5-steroid dehydrogenase activity"",""MF"""
"GO:0008241,0.00434674034726871,0.999892986452116,2,7,""peptidyl-dipeptidase activity"",""MF"""
"GO:0070573,0.0048472076461531,0.999873768266355,2,7,""metallodipeptidase activity"",""MF"""
"GO:0008240,0.0050111616136695,0.999867238385925,2,7,""tripeptidyl-peptidase activity"",""MF"""
"GO:0098960,0.0051532787217757,0.999848902163657,2,10,""postsynaptic neurotransmitter receptor activity"",""MF"""
"GO:0022836,0.00727021551935357,0.999346863970679,3,38,""gated channel activity"",""MF"""
"GO:1904399,0.00743110267813954,0.999333922872114,3,32,""heparan sulfate binding"",""MF"""
"GO:0051019,0.00758605360636694,0.999319560257677,3,29,""mitogen-activated protein kinase binding"",""MF"""
"GO:0005353,0.00760386908171994,0.999733111157486,2,9,""fructose transmembrane transporter activity"",""MF"""
"GO:0043530,0.0082514888802563,0.999706059498998,2,8,""adenosine 5'-monophosphoramidase activity"",""MF"""
"GO:0004632,0.00879365598800856,1,1,1,""phosphopantothenate--cysteine ligase activity"",""MF"""
"GO:0008139,0.00891459031450633,0.99963787676267,2,13,""nuclear localization sequence binding"",""MF"""
"GO:0050459,0.00995950816201223,1,1,1,""ethanolamine-phosphate phospho-lyase activity"",""MF"""
"GO:0005230,0.0100864724587903,0.997979738358181,5,103,""extracellular ligand-gated ion channel activity"",""MF"""
"GO:0070891,0.010224264669343,0.998963119011359,3,36,""lipoteichoic acid binding"",""MF"""
"GO:0047352,0.0126000601296437,1,1,1,""adenylylsulfate-ammonia adenylyltransferase activity"",""MF"""
"GO:0047627,0.0126000601296437,1,1,1,""adenylylsulfatase activity"",""MF"""
"GO:0005137,0.0126786627562876,1,1,1,""interleukin-5 receptor binding"",""MF"""
"GO:0071949,0.0164273941533272,0.997063593302076,4,78,""FAD binding"",""MF"""
"GO:0015247,0.0175090125322345,0.999922843068451,1,2,""aminophospholipid transmembrane transporter activity"",""MF"""
"GO:0016702,0.017879401330527,0.997743050961174,3,46,""oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"",""MF"""
"GO:0005488,0.01970800016247,0.988136623607847,30,1710,""binding"",""MF"""
"GO:0050840,0.0198750823739093,0.997397206273321,3,43,""extracellular matrix binding"",""MF"""
"GO:0004867,0.0210887255706636,0.997182134960901,3,41,""serine-type endopeptidase inhibitor activity"",""MF"""
"GO:0008510,0.0221635582528539,0.999876075039259,1,2,""sodium:bicarbonate symporter activity"",""MF"""
"GO:0031434,0.0225620214150043,0.998469171207372,2,16,""mitogen-activated protein kinase kinase binding"",""MF"""
"GO:0008445,0.0235803909752223,0.999859623139743,1,2,""D-aspartate oxidase activity"",""MF"""
"GO:0071936,0.0241054851458599,0.99827813998911,2,19,""coreceptor activity involved in Wnt signaling pathway"",""MF"""
"GO:0050649,0.0258544513992545,0.99807470373023,2,20,""testosterone 6-beta-hydroxylase activity"",""MF"""
"GO:0004013,0.0293002940864136,0.999710647362572,1,3,""adenosylhomocysteinase activity"",""MF"""
"GO:0008236,0.0305536092188092,0.993384989847437,4,92,""serine-type peptidase activity"",""MF"""
"GO:0008237,0.0306642073608648,0.9885782216391,8,287,""metallopeptidase activity"",""MF"""
"GO:0038187,0.0345656649529277,0.99435534210065,3,55,""pattern recognition receptor activity"",""MF"""
"GO:0008519,0.0350785064652891,0.996890376260412,2,23,""ammonium transmembrane transporter activity"",""MF"""
"GO:0051119,0.0365083779540894,0.999493475605796,1,4,""sugar transmembrane transporter activity"",""MF"""
"GO:0102751,0.0375241769119195,0.999523639184998,1,3,""UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity"",""MF"""
"GO:0004508,0.0392614409234134,0.999413509724745,1,4,""steroid 17-alpha-monooxygenase activity"",""MF"""
"GO:0005216,0.0406566639094614,0.983999789202597,8,320,""ion channel activity"",""MF"""
"GO:0015205,0.0407680241421679,0.999367225634456,1,4,""nucleobase transmembrane transporter activity"",""MF"""
"GO:0005044,0.0408261247987817,0.988245801622352,5,147,""scavenger receptor activity"",""MF"""
"GO:0004609,0.0428613879448051,0.999299943238728,1,4,""phosphatidylserine decarboxylase activity"",""MF"""
"GO:0004623,0.0442848197248727,0.995557471456759,2,22,""phospholipase A2 activity"",""MF"""
"GO:0015574,0.0449816754692661,0.999177445755908,1,5,""trehalose transmembrane transporter activity"",""MF"""
"GO:0008092,0.0466657107505758,0.986042184250486,5,171,""cytoskeletal protein binding"",""MF"""
"GO:0055056,0.0496512242204066,0.998995860389166,1,5,""D-glucose transmembrane transporter activity"",""MF"""
"GO:0022852,0.0497571919916935,0.99905375061849,1,4,""glycine-gated chloride ion channel activity"",""MF"""
GO:0120197,0.0035425594186165,0.999916159710198,2,9,NA,NA
GO:0140351,0.0210790872513711,0.999887967626252,1,2,NA,NA
GO:0110165,0.0213436475412476,0.989198580649039,17,810,NA,NA
GO:0140570,0.0302871984056962,0.999767618619481,1,2,NA,NA
GO:0062186,0.0329738339071086,0.999724183091448,1,2,NA,NA
