"category,""over_represented_pvalue"",""under_represented_pvalue"",""numDEInCat"",""numInCat"",""term"",""ontology"""
"GO:0032981,2.34265727403516e-06,0.999999562836416,24,36,""mitochondrial respiratory chain complex I assembly"",""BP"""
"GO:0035435,2.66411246928967e-06,0.99999980243011,15,18,""phosphate ion transmembrane transport"",""BP"""
"GO:0034644,2.73456273126976e-06,0.999999241122321,35,59,""cellular response to UV"",""BP"""
"GO:0000381,2.88671371145222e-06,0.999999214913143,34,57,""regulation of alternative mRNA splicing, via spliceosome"",""BP"""
"GO:0006887,3.63041830660368e-06,0.999998954180694,36,61,""exocytosis"",""BP"""
"GO:1902774,5.0550514385741e-06,0.999999618245269,14,17,""late endosome to lysosome transport"",""BP"""
"GO:1900103,5.74083527907492e-06,1,10,10,""positive regulation of endoplasmic reticulum unfolded protein response"",""BP"""
"GO:0071346,6.2431842649632e-06,0.99999835505709,31,51,""cellular response to interferon-gamma"",""BP"""
"GO:0006396,6.29524714961971e-06,0.999997215750883,66,135,""RNA processing"",""BP"""
"GO:0032467,7.50829667818484e-06,0.999998112230285,29,47,""positive regulation of cytokinesis"",""BP"""
"GO:0006352,8.04800404547042e-06,0.999997906318805,29,49,""DNA-templated transcription, initiation"",""BP"""
"GO:0046761,8.35780459307106e-06,0.999999733718389,11,12,""viral budding from plasma membrane"",""BP"""
"GO:0000301,8.54792472376651e-06,0.99999970916286,12,13,""retrograde transport, vesicle recycling within Golgi"",""BP"""
"GO:0001732,9.07087050462768e-06,1,10,10,""formation of cytoplasmic translation initiation complex"",""BP"""
"GO:0016236,9.81057517258089e-06,0.999997823956951,25,39,""macroautophagy"",""BP"""
"GO:0015709,1.04215558015599e-05,1,9,9,""thiosulfate transport"",""BP"""
"GO:0071423,1.04215558015599e-05,1,9,9,""malate transmembrane transport"",""BP"""
"GO:1903427,1.05450779929973e-05,0.999998281645129,20,28,""negative regulation of reactive oxygen species biosynthetic process"",""BP"""
"GO:0061952,1.18835375415988e-05,0.999998599502573,16,21,""midbody abscission"",""BP"""
"GO:0006367,1.44989369428939e-05,0.999997128327878,22,33,""transcription initiation from RNA polymerase II promoter"",""BP"""
"GO:0051123,1.55688308439241e-05,0.999998116301198,16,21,""RNA polymerase II preinitiation complex assembly"",""BP"""
"GO:0006336,1.5630855273999e-05,0.999998669125291,14,17,""DNA replication-independent nucleosome assembly"",""BP"""
"GO:0000422,1.96258937461447e-05,0.999996811108494,18,26,""autophagy of mitochondrion"",""BP"""
"GO:0031063,2.0783804538124e-05,0.999998709734741,12,14,""regulation of histone deacetylation"",""BP"""
"GO:0039702,2.14792889016071e-05,0.999998661206666,12,14,""viral budding via host ESCRT complex"",""BP"""
"GO:1901673,2.31693297650251e-05,0.999997591096128,14,18,""regulation of mitotic spindle assembly"",""BP"""
"GO:1905168,2.55589215327872e-05,0.999993795137337,25,40,""positive regulation of double-strand break repair via homologous recombination"",""BP"""
"GO:0007286,2.80863308685171e-05,0.999988996009837,45,89,""spermatid development"",""BP"""
"GO:0000413,2.97227687885051e-05,0.999993413802468,22,35,""protein peptidyl-prolyl isomerization"",""BP"""
"GO:0060271,3.15085311829858e-05,0.999981520578261,127,308,""cilium assembly"",""BP"""
"GO:0016579,3.49091314621818e-05,0.999986830432872,42,80,""protein deubiquitination"",""BP"""
"GO:0090307,3.71338501781932e-05,0.999988920309919,30,52,""mitotic spindle assembly"",""BP"""
"GO:0033206,4.05279324854945e-05,1,9,9,""meiotic cytokinesis"",""BP"""
"GO:0032456,4.17101504032567e-05,0.999985506460853,36,67,""endocytic recycling"",""BP"""
"GO:0045944,4.18121204259075e-05,0.999969591565362,305,840,""positive regulation of transcription by RNA polymerase II"",""BP"""
"GO:0007283,4.2974059115587e-05,0.9999737046,138,344,""spermatogenesis"",""BP"""
"GO:0019076,4.31160978110259e-05,0.999995202106816,14,18,""viral release from host cell"",""BP"""
"GO:0009793,4.38146941171994e-05,0.999993612581556,16,22,""embryo development ending in seed dormancy"",""BP"""
"GO:1903543,4.44926475817402e-05,0.999995031637526,14,18,""positive regulation of exosomal secretion"",""BP"""
"GO:0010508,4.51925964898676e-05,0.999985150004779,33,60,""positive regulation of autophagy"",""BP"""
"GO:1905515,4.7993204379037e-05,0.999979892313506,49,97,""non-motile cilium assembly"",""BP"""
"GO:0045740,4.90883054775951e-05,0.999989746206874,20,31,""positive regulation of DNA replication"",""BP"""
"GO:0070979,5.03931541204145e-05,0.999990043751905,19,29,""protein K11-linked ubiquitination"",""BP"""
"GO:0043968,5.07824097820395e-05,0.99999171533453,17,24,""histone H2A acetylation"",""BP"""
"GO:0006397,6.06756763816776e-05,0.999974178535139,48,99,""mRNA processing"",""BP"""
"GO:0006754,6.52827300382896e-05,1,8,8,""ATP biosynthetic process"",""BP"""
"GO:0030968,6.68520793785181e-05,0.999986951887885,19,28,""endoplasmic reticulum unfolded protein response"",""BP"""
"GO:0010592,6.84798040016117e-05,0.999984504990874,21,33,""positive regulation of lamellipodium assembly"",""BP"""
"GO:0007034,6.89112523557962e-05,0.999993678711206,12,15,""vacuolar transport"",""BP"""
"GO:0006099,6.9272504094142e-05,0.999982188179314,24,39,""tricarboxylic acid cycle"",""BP"""
"GO:0042766,6.96112131126881e-05,0.999983481117813,22,35,""nucleosome mobilization"",""BP"""
"GO:0097484,7.11603968930325e-05,0.999995126986457,11,13,""dendrite extension"",""BP"""
"GO:0032801,7.19123873939878e-05,0.999991525304249,14,18,""receptor catabolic process"",""BP"""
"GO:0048193,7.69586747443452e-05,0.999980049065447,24,39,""Golgi vesicle transport"",""BP"""
"GO:0048025,7.70157578717695e-05,0.999988520070191,15,21,""negative regulation of mRNA splicing, via spliceosome"",""BP"""
"GO:0042254,7.84965423969079e-05,0.999969524238338,40,78,""ribosome biogenesis"",""BP"""
"GO:0090043,8.30091154095147e-05,0.999992205965051,12,15,""regulation of tubulin deacetylation"",""BP"""
"GO:0007030,8.38034881972366e-05,0.999956667552756,72,161,""Golgi organization"",""BP"""
"GO:0035522,9.75412915108816e-05,0.999976198283427,22,35,""monoubiquitinated histone H2A deubiquitination"",""BP"""
"GO:0006281,9.83841300793913e-05,0.999940111709524,118,289,""DNA repair"",""BP"""
"GO:0007052,0.000102241412445364,0.999966285639138,31,55,""mitotic spindle organization"",""BP"""
"GO:0045176,0.000103557415127732,0.999978164195985,19,29,""apical protein localization"",""BP"""
"GO:1901998,0.000108722261211852,0.999968127006988,26,45,""toxin transport"",""BP"""
"GO:0071375,0.00010959771185056,0.999984924076419,14,19,""cellular response to peptide hormone stimulus"",""BP"""
"GO:0007033,0.000112123753282117,0.999984536630706,14,19,""vacuole organization"",""BP"""
"GO:0000278,0.000118422773147571,0.999946263170324,51,107,""mitotic cell cycle"",""BP"""
"GO:0090110,0.000128679252772401,0.99999480579408,9,10,""cargo loading into COPII-coated vesicle"",""BP"""
"GO:0006120,0.000129287911644228,0.999980390334961,14,20,""mitochondrial electron transport, NADH to ubiquinone"",""BP"""
"GO:0051603,0.000140529108231877,0.999949811036154,32,62,""proteolysis involved in cellular protein catabolic process"",""BP"""
"GO:0032049,0.000156766076199884,0.99999347069102,9,10,""cardiolipin biosynthetic process"",""BP"""
"GO:0042073,0.000158775821621699,0.999953468450799,25,43,""intraciliary transport"",""BP"""
"GO:0006357,0.000163334292063223,0.99989333197217,145,371,""regulation of transcription by RNA polymerase II"",""BP"""
"GO:0045292,0.000172594764225157,0.999957582903644,20,33,""mRNA cis splicing, via spliceosome"",""BP"""
"GO:0006338,0.000192874310688515,0.999918645007087,42,84,""chromatin remodeling"",""BP"""
"GO:0033617,0.000209470952321777,0.999967820664754,13,19,""mitochondrial respiratory chain complex IV assembly"",""BP"""
"GO:0045722,0.000221944238882359,0.999968200380601,13,18,""positive regulation of gluconeogenesis"",""BP"""
"GO:0035307,0.000241813879571997,0.999956571533875,15,22,""positive regulation of protein dephosphorylation"",""BP"""
"GO:1904294,0.000242696258666247,1,7,7,""positive regulation of ERAD pathway"",""BP"""
"GO:0006890,0.000256398595795024,0.999905327807744,32,61,""retrograde vesicle-mediated transport, Golgi to ER"",""BP"""
"GO:0060770,0.000257536327798429,0.999989321955711,8,9,""negative regulation of epithelial cell proliferation involved in prostate gland development"",""BP"""
"GO:0070936,0.000264706213999371,0.999908079014746,29,54,""protein K48-linked ubiquitination"",""BP"""
"GO:0006337,0.000273727763646007,0.999971497978528,11,14,""nucleosome disassembly"",""BP"""
"GO:0006734,0.000288063065069777,0.999977402542678,10,12,""NADH metabolic process"",""BP"""
"GO:0035065,0.000296117555928924,1,7,7,""regulation of histone acetylation"",""BP"""
"GO:0051302,0.00029692397003718,0.999945439851155,15,22,""regulation of cell division"",""BP"""
"GO:0032402,0.000300258995103821,0.999929542129883,18,29,""melanosome transport"",""BP"""
"GO:0106077,0.000316488429209,1,7,7,""histone succinylation"",""BP"""
"GO:1901796,0.00032723882337071,0.99991475416892,20,33,""regulation of signal transduction by p53 class mediator"",""BP"""
"GO:0045892,0.000336974107803543,0.99979411632537,101,249,""negative regulation of transcription, DNA-templated"",""BP"""
"GO:0033540,0.000339194866295816,0.999985241973403,8,9,""fatty acid beta-oxidation using acyl-CoA oxidase"",""BP"""
"GO:0006446,0.000342334890254798,0.999941901826397,14,20,""regulation of translational initiation"",""BP"""
"GO:0035022,0.000345509417889483,0.999954824982808,12,16,""positive regulation of Rac protein signal transduction"",""BP"""
"GO:0031122,0.000347993437134389,0.999899674414173,22,38,""cytoplasmic microtubule organization"",""BP"""
"GO:0010824,0.000368209767730336,0.999951449887022,12,16,""regulation of centrosome duplication"",""BP"""
"GO:1901800,0.000381028471740817,0.999941637175012,13,18,""positive regulation of proteasomal protein catabolic process"",""BP"""
"GO:0006360,0.000391792854512136,0.999982513163599,8,9,""transcription by RNA polymerase I"",""BP"""
"GO:0010971,0.000403553618394119,0.999913396837987,16,25,""positive regulation of G2/M transition of mitotic cell cycle"",""BP"""
"GO:0045022,0.000408158422563248,0.999889204078864,20,34,""early endosome to late endosome transport"",""BP"""
"GO:0010458,0.000425705700599957,0.999966897069511,9,11,""exit from mitosis"",""BP"""
"GO:0006401,0.000439590692595196,0.999926085268085,13,19,""RNA catabolic process"",""BP"""
"GO:0061077,0.000439953789080518,0.999843305828471,28,53,""chaperone-mediated protein folding"",""BP"""
"GO:1903542,0.000452704876081761,1,6,6,""negative regulation of exosomal secretion"",""BP"""
"GO:0071816,0.000471659301723704,0.999949947353902,10,13,""tail-anchored membrane protein insertion into ER membrane"",""BP"""
"GO:1904903,0.000476868449819924,1,6,6,""ESCRT III complex disassembly"",""BP"""
"GO:0043966,0.00048432884190149,0.999840859867806,25,45,""histone H3 acetylation"",""BP"""
"GO:0045324,0.000500180240999665,0.999960072677666,9,11,""late endosome to vacuole transport"",""BP"""
"GO:0043687,0.000507197381750142,0.999904284553408,14,21,""post-translational protein modification"",""BP"""
"GO:0090306,0.000524261367494371,0.9999578272464,9,11,""spindle assembly involved in meiosis"",""BP"""
"GO:0016255,0.000525900768749987,0.999975256941022,8,9,""attachment of GPI anchor to protein"",""BP"""
"GO:0097202,0.000539831518582396,0.99995636590569,9,11,""activation of cysteine-type endopeptidase activity"",""BP"""
"GO:0090398,0.000545462705752163,0.999839347267907,21,37,""cellular senescence"",""BP"""
"GO:0032527,0.000561334652696626,1,6,6,""protein exit from endoplasmic reticulum"",""BP"""
"GO:0022904,0.000603364622270894,0.999919030652697,11,15,""respiratory electron transport chain"",""BP"""
"GO:0007288,0.000612419664440861,0.999782798094897,27,50,""sperm axoneme assembly"",""BP"""
"GO:0007339,0.000618957237640847,0.99990336596162,12,17,""binding of sperm to zona pellucida"",""BP"""
"GO:0060339,0.000625612476326303,0.999890042020535,13,19,""negative regulation of type I interferon-mediated signaling pathway"",""BP"""
"GO:0032147,0.000626492765841259,0.999833960085854,18,31,""activation of protein kinase activity"",""BP"""
"GO:0120163,0.000647442012418609,0.999754412087361,29,57,""negative regulation of cold-induced thermogenesis"",""BP"""
"GO:0006749,0.000650969344882522,0.99973106778359,33,69,""glutathione metabolic process"",""BP"""
"GO:0045451,0.000662650378208318,1,6,6,""pole plasm oskar mRNA localization"",""BP"""
"GO:0030150,0.000678221359301605,0.999928949864266,9,12,""protein import into mitochondrial matrix"",""BP"""
"GO:0006104,0.000685185319664464,0.999966172317389,8,9,""succinyl-CoA metabolic process"",""BP"""
"GO:0006900,0.000726163653317741,0.999967108917199,7,8,""vesicle budding from membrane"",""BP"""
"GO:0060261,0.000754466307328579,0.99977901106487,20,35,""positive regulation of transcription initiation from RNA polymerase II promoter"",""BP"""
"GO:0043524,0.000760116117571693,0.999612841210258,51,116,""negative regulation of neuron apoptotic process"",""BP"""
"GO:0032435,0.000788379280256259,0.999823239764012,15,24,""negative regulation of proteasomal ubiquitin-dependent protein catabolic process"",""BP"""
"GO:0000338,0.000799339301323627,0.999931040797587,9,11,""protein deneddylation"",""BP"""
"GO:0045454,0.000823988467189819,0.999732842050765,22,41,""cell redox homeostasis"",""BP"""
"GO:0006406,0.000839863155639371,0.999702388762053,25,48,""mRNA export from nucleus"",""BP"""
"GO:0061640,0.000856064183600782,0.999900490170843,10,13,""cytoskeleton-dependent cytokinesis"",""BP"""
"GO:0036498,0.00090505768652244,1,6,6,""IRE1-mediated unfolded protein response"",""BP"""
"GO:0043278,0.000924812207401192,0.999723752539831,20,35,""response to morphine"",""BP"""
"GO:0006995,0.000938011720885402,0.999923083216838,8,10,""cellular response to nitrogen starvation"",""BP"""
"GO:0007018,0.000971879965706358,0.999405374909454,86,213,""microtubule-based movement"",""BP"""
"GO:0090324,0.000985794039310878,0.999918438303546,8,10,""negative regulation of oxidative phosphorylation"",""BP"""
"GO:0061512,0.00101094646574431,0.999670146055252,22,40,""protein localization to cilium"",""BP"""
"GO:0006464,0.00101614660781745,0.999515952442357,42,91,""cellular protein modification process"",""BP"""
"GO:0043547,0.00104625350014712,0.999436950472238,57,130,""positive regulation of GTPase activity"",""BP"""
"GO:0001178,0.00111313420607535,0.999945093765672,7,8,""regulation of transcriptional start site selection at RNA polymerase II promoter"",""BP"""
"GO:0007049,0.00114392945529855,0.999387132546599,55,127,""cell cycle"",""BP"""
"GO:0032872,0.00115206268530794,0.999868338674594,9,12,""regulation of stress-activated MAPK cascade"",""BP"""
"GO:0006614,0.00115448694155896,0.999812713719113,11,16,""SRP-dependent cotranslational protein targeting to membrane"",""BP"""
"GO:0043248,0.0011585360000474,0.999838116893111,10,14,""proteasome assembly"",""BP"""
"GO:0043484,0.00116071232395155,0.999710499639296,16,26,""regulation of RNA splicing"",""BP"""
"GO:1905037,0.00117191040769178,1,6,6,""autophagosome organization"",""BP"""
"GO:0006744,0.00118219157630449,0.999740927865232,14,22,""ubiquinone biosynthetic process"",""BP"""
"GO:0007502,0.00118441240574894,1,6,6,""digestive tract mesoderm development"",""BP"""
"GO:0098532,0.0011860956757677,0.999940737481479,7,8,""histone H3-K27 trimethylation"",""BP"""
"GO:0006635,0.00119312404985492,0.999542641999848,27,53,""fatty acid beta-oxidation"",""BP"""
"GO:0032784,0.00126468163789781,0.999935980937043,7,8,""regulation of DNA-templated transcription, elongation"",""BP"""
"GO:0060382,0.00128828153373769,0.9997369262518,13,20,""regulation of DNA strand elongation"",""BP"""
"GO:0042308,0.00128933338868704,0.999849847458168,9,12,""negative regulation of protein import into nucleus"",""BP"""
"GO:0070314,0.00130663158709373,0.99984749168905,9,12,""G1 to G0 transition"",""BP"""
"GO:0045047,0.00133978211572089,0.999931375587276,7,8,""protein targeting to ER"",""BP"""
"GO:0070828,0.00134043959139432,0.999931335018551,7,8,""heterochromatin organization"",""BP"""
"GO:0000729,0.00134489883604659,0.999776918050645,11,16,""DNA double-strand break processing"",""BP"""
"GO:0043433,0.00136739055824814,0.999495105351856,25,48,""negative regulation of DNA-binding transcription factor activity"",""BP"""
"GO:1901610,0.0013872109072501,1,5,5,""positive regulation of vesicle transport along microtubule"",""BP"""
"GO:0000082,0.00139273828389416,0.999415076420547,31,63,""G1/S transition of mitotic cell cycle"",""BP"""
"GO:0001682,0.00139722841700074,0.99983506448354,9,12,""tRNA 5'-leader removal"",""BP"""
"GO:0034314,0.00141263737138614,0.999875194583867,8,10,""Arp2/3 complex-mediated actin nucleation"",""BP"""
"GO:0034389,0.00141349442815948,0.999649512147504,15,25,""lipid droplet organization"",""BP"""
"GO:0031440,0.00142148246279612,0.999874268385534,8,10,""regulation of mRNA 3'-end processing"",""BP"""
"GO:0030953,0.00146130646706318,0.999826187218331,9,12,""astral microtubule organization"",""BP"""
"GO:0015693,0.00146388017713433,0.999869813284554,8,10,""magnesium ion transport"",""BP"""
"GO:0006979,0.00146433016770018,0.999068560706578,93,236,""response to oxidative stress"",""BP"""
"GO:1990748,0.00147723824657403,0.999823969119026,9,12,""cellular detoxification"",""BP"""
"GO:0070328,0.0015239284859324,0.999863460403257,8,10,""triglyceride homeostasis"",""BP"""
"GO:0031146,0.0015260106485891,0.999538288869907,19,33,""SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"",""BP"""
"GO:0007265,0.0015532508730581,0.999441174107594,23,45,""Ras protein signal transduction"",""BP"""
"GO:0046784,0.00157897474193266,0.999857593474428,8,10,""viral mRNA export from host cell nucleus"",""BP"""
"GO:0050772,0.00158174668355384,0.999521716759683,18,33,""positive regulation of axonogenesis"",""BP"""
"GO:0032869,0.00161050173004769,0.999147259485028,50,116,""cellular response to insulin stimulus"",""BP"""
"GO:1903774,0.00162935482280072,1,5,5,""positive regulation of viral budding via host ESCRT complex"",""BP"""
"GO:0042692,0.00167360658857697,0.999589801061353,15,24,""muscle cell differentiation"",""BP"""
"GO:0000122,0.00168599340663641,0.998720723676656,227,635,""negative regulation of transcription by RNA polymerase II"",""BP"""
"GO:0007040,0.00173041609103493,0.999172711934241,39,84,""lysosome organization"",""BP"""
"GO:1900182,0.00173992613348904,0.999498760866324,17,30,""positive regulation of protein localization to nucleus"",""BP"""
"GO:0009794,0.00176683658610006,1,5,5,""regulation of mitotic cell cycle, embryonic"",""BP"""
"GO:0032259,0.00179970063717358,0.999091067613798,43,99,""methylation"",""BP"""
"GO:0006335,0.00180717225684417,0.999777117262262,9,12,""DNA replication-dependent nucleosome assembly"",""BP"""
"GO:0007269,0.00180886889516771,0.999596110148555,13,21,""neurotransmitter secretion"",""BP"""
"GO:0051881,0.0018249024737554,0.999439784194116,18,33,""regulation of mitochondrial membrane potential"",""BP"""
"GO:0035093,0.00182920468172649,0.999725386278418,10,14,""spermatogenesis, exchange of chromosomal proteins"",""BP"""
"GO:0009306,0.00185153610703947,0.999286947482717,25,50,""protein secretion"",""BP"""
"GO:0048194,0.00186018806685097,0.999898027366754,7,8,""Golgi vesicle budding"",""BP"""
"GO:0034497,0.00188257003435302,0.999716073879743,10,14,""protein localization to phagophore assembly site"",""BP"""
"GO:0006103,0.00188897922073431,0.999560897270723,14,22,""2-oxoglutarate metabolic process"",""BP"""
"GO:0034198,0.0018919913081081,0.999330505144197,22,42,""cellular response to amino acid starvation"",""BP"""
"GO:0019470,0.00189199315761389,0.999895915160185,7,8,""4-hydroxyproline catabolic process"",""BP"""
"GO:0031532,0.00189293327557549,0.999260416081652,26,51,""actin cytoskeleton reorganization"",""BP"""
"GO:0018216,0.00194522399785092,0.999892362453454,7,8,""peptidyl-arginine methylation"",""BP"""
"GO:0042752,0.00196143887058761,0.999130825797008,32,68,""regulation of circadian rhythm"",""BP"""
"GO:0034244,0.00197467505806724,0.999573277185445,13,20,""negative regulation of transcription elongation from RNA polymerase II promoter"",""BP"""
"GO:0106074,0.00200138423239836,1,5,5,""aminoacyl-tRNA metabolism involved in translational fidelity"",""BP"""
"GO:0097068,0.0020631203976847,1,5,5,""response to thyroxine"",""BP"""
"GO:0071422,0.0020838168727084,0.999649770184218,10,15,""succinate transmembrane transport"",""BP"""
"GO:0070734,0.00209186055456509,0.999882464869021,7,8,""histone H3-K27 methylation"",""BP"""
"GO:1904851,0.00214885261746907,0.999794649773544,8,10,""positive regulation of establishment of protein localization to telomere"",""BP"""
"GO:0022405,0.0021647662809763,1,5,5,""hair cycle process"",""BP"""
"GO:0061909,0.00217253091928941,0.999632445714852,10,15,""autophagosome-lysosome fusion"",""BP"""
"GO:0000245,0.00217649944433059,0.999431539748419,15,25,""spliceosomal complex assembly"",""BP"""
"GO:0007076,0.00220480265731119,0.999391223219932,16,27,""mitotic chromosome condensation"",""BP"""
"GO:2000331,0.00223948358299322,0.999784301574757,8,10,""regulation of terminal button organization"",""BP"""
"GO:0045737,0.00224094789731311,0.999485192176502,13,21,""positive regulation of cyclin-dependent protein serine/threonine kinase activity"",""BP"""
"GO:0008380,0.00225615975483446,0.998876904963786,40,91,""RNA splicing"",""BP"""
"GO:0007021,0.00225791847195651,0.999730889940381,8,11,""tubulin complex assembly"",""BP"""
"GO:1904381,0.00231180427621128,1,5,5,""Golgi apparatus mannose trimming"",""BP"""
"GO:0046726,0.00232462684037301,1,5,5,""positive regulation by virus of viral protein levels in host cell"",""BP"""
"GO:0043981,0.00233042094602469,0.999352324315536,16,27,""histone H4-K5 acetylation"",""BP"""
"GO:0043982,0.00233042094602469,0.999352324315536,16,27,""histone H4-K8 acetylation"",""BP"""
"GO:0106035,0.00233958903828954,0.999792039174304,7,9,""protein maturation by [4Fe-4S] cluster transfer"",""BP"""
"GO:0000209,0.00244360014479546,0.998621291174876,56,133,""protein polyubiquitination"",""BP"""
"GO:0035493,0.00244434219522235,0.999872802593636,6,7,""SNARE complex assembly"",""BP"""
"GO:0034067,0.00247637717407189,0.999468699160382,12,19,""protein localization to Golgi apparatus"",""BP"""
"GO:0035900,0.00253116229163135,1,5,5,""response to isolation stress"",""BP"""
"GO:0032482,0.00254237049358691,0.999428444760051,12,20,""Rab protein signal transduction"",""BP"""
"GO:0008286,0.00258201616002276,0.998883862699157,29,61,""insulin receptor signaling pathway"",""BP"""
"GO:0007113,0.00259863433569383,0.999862846024639,6,7,""endomitotic cell cycle"",""BP"""
"GO:0051645,0.00262246743287856,0.99954281786403,10,15,""Golgi localization"",""BP"""
"GO:1903679,0.00263221495374962,1,5,5,""positive regulation of cap-independent translational initiation"",""BP"""
"GO:0032543,0.00264536603222743,0.999355869060547,13,22,""mitochondrial translation"",""BP"""
"GO:0035523,0.00266095708262927,1,5,5,""protein K29-linked deubiquitination"",""BP"""
"GO:0055007,0.00277842012534115,0.999295820581,14,23,""cardiac muscle cell differentiation"",""BP"""
"GO:0030263,0.00283157272466239,1,5,5,""apoptotic chromosome condensation"",""BP"""
"GO:0001843,0.00283861017217279,0.998560468512041,41,91,""neural tube closure"",""BP"""
"GO:1902038,0.00288414089319443,1,5,5,""positive regulation of hematopoietic stem cell differentiation"",""BP"""
"GO:0006470,0.00291279663283501,0.998284552206634,62,151,""protein dephosphorylation"",""BP"""
"GO:1902617,0.00291379732914149,1,5,5,""response to fluoride"",""BP"""
"GO:0000462,0.00292296074291526,0.998938466129391,21,41,""maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"",""BP"""
"GO:0042789,0.00292739440045822,0.999105838645904,17,30,""mRNA transcription by RNA polymerase II"",""BP"""
"GO:0006661,0.00295264337725129,0.999199211263851,15,25,""phosphatidylinositol biosynthetic process"",""BP"""
"GO:0099041,0.00297378579071703,1,5,5,""vesicle tethering to Golgi"",""BP"""
"GO:0046600,0.00304502634581988,1,5,5,""negative regulation of centriole replication"",""BP"""
"GO:0034058,0.00306162752437321,0.999293411213756,12,20,""endosomal vesicle fusion"",""BP"""
