category;genes;over_represented_pvalue;under_represented_pvalue;numDEInCat;numInCat;term;ontology
GO:0005886;Pastreoides45726, Pastreoides55184, Pastreoides55185, Pastreoides55189, Pastreoides59744, Pastreoides63156, Pastreoides51527, Pastreoides48811, Pastreoides39611, Pastreoides39612, Pastreoides36592, Pastreoides36604, Pastreoides36617, Pastreoides49581, Pastreoides49597, Pastreoides49016;1.90E-05;0.999995278;16;188;plasma membrane;CC
GO:0006355;Pastreoides06687, Pastreoides32161, Pastreoides32153, Pastreoides39189, Pastreoides53904, Pastreoides48118;0.023982907;0.993106794;6;86;regulation of transcription, DNA-templated;BP
GO:0005044;Pastreoides45726, Pastreoides45722, Pastreoides55184, Pastreoides55188, Pastreoides55189, Pastreoides55191, Pastreoides59744, Pastreoides63156, Pastreoides48811, Pastreoides39611, Pastreoides39627, Pastreoides39629, Pastreoides36590, Pastreoides36592, Pastreoides49583, Pastreoides49597, Pastreoides49000, Pastreoides49017;1.10E-11;1;18;83;scavenger receptor activity;MF
GO:0016180;Pastreoides31698;0.021458874;1;1;1;snRNA processing;BP
GO:0090729;Pastreoides10444, Pastreoides10537, Pastreoides10841, Pastreoides10842, Pastreoides10843, Pastreoides10844, Pastreoides10847, Pastreoides09317, Pastreoides09318;0.000000194;0.999999987;9;39;toxin activity;MF
GO:0030686;Pastreoides33480;-0.044139577;0.999502203;1;2;90S preribosome;CC
GO:0030144;Pastreoides48856;-0.022568845;1;1;1;alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity;MF
GO:0016887;Pastreoides39507, Pastreoides47181, Pastreoides17987, Pastreoides17988, Pastreoides12722, Pastreoides63899, Pastreoides56842, Pastreoides46642;-0.007807153;0.997771235;8;91;ATPase activity;MF
GO:0000492;Pastreoides20217;-0.022741234;1;1;1;box C/D snoRNP assembly;BP
GO:0034703;Pastreoides60648;-0.022006911;1;1;1;cation channel complex;CC
GO:0003885;Pastreoides22333;-0.044660658;0.999490242;1;2;D-arabinono-1,4-lactone oxidase activity;MF
GO:1902555;Pastreoides25489;-0.022066954;1;1;1;endoribonuclease complex;CC
GO:0004857;Pastreoides06605, Pastreoides44077;-0.006748272;0.999817641;2;5;enzyme inhibitor activity;MF
GO:0006689;Pastreoides14297;-0.044804237;0.999486921;1;2;ganglioside catabolic process;BP
GO:0006955;Pastreoides25129, Pastreoides16373, Pastreoides24272, Pastreoides24274;-0.006422279;0.999159741;4;33;immune response;BP
GO:0070679;Pastreoides60648;-0.022006911;1;1;1;inositol 1,4,5 trisphosphate binding;MF
GO:0005520;Pastreoides28914;-0.022761502;1;1;1;insulin-like growth factor binding;MF
GO:0016021;Pastreoides14188, Pastreoides62914, Pastreoides08590, Pastreoides08614, Pastreoides39719, Pastreoides25621, Pastreoides07855, Pastreoides48856, Pastreoides26655, Pastreoides33262, Pastreoides36678, Pastreoides12258, Pastreoides35512, Pastreoides42872, Pastreoides34088, Pastreoides08309, Pastreoides29102, Pastreoides29104, Pastreoides08504, Pastreoides57734, Pastreoides14670, Pastreoides40929, Pastreoides04178, Pastreoides11378, Pastreoides11379, Pastreoides17642, Pastreoides28108, Pastreoides10329, Pastreoides10367, Pastreoides58054, Pastreoides22333, Pastreoides27054, Pastreoides23145, Pastreoides36554, Pastreoides19206, Pastreoides31157, Pastreoides54101, Pastreoides50840, Pastreoides17650, Pastreoides17712, Pastreoides28914, Pastreoides28919, Pastreoides58676, Pastreoides35868, Pastreoides40470, Pastreoides38546, Pastreoides61600, Pastreoides03383, Pastreoides26624, Pastreoides22683, Pastreoides07733, Pastreoides07735, Pastreoides07736, Pastreoides07732, Pastreoides50824, Pastreoides50829, Pastreoides50831, Pastreoides34043, Pastreoides09694, Pastreoides34818, Pastreoides14261, Pastreoides20694, Pastreoides20695, Pastreoides20696, Pastreoides23368, Pastreoides20471, Pastreoides18768, Pastreoides18769, Pastreoides53228, Pastreoides26707, Pastreoides09348, Pastreoides09347, Pastreoides34887, Pastreoides16797, Pastreoides16695, Pastreoides58303;-0.047493897;0.963481403;76;2721;integral component of membrane;CC
GO:0004970;Pastreoides03383;-0.045268903;0.999476098;1;2;ionotropic glutamate receptor activity;MF
GO:0035235;Pastreoides03383;-0.045268903;0.999476098;1;2;ionotropic glutamate receptor signaling pathway;BP
GO:0006828;Pastreoides60648;-0.022006911;1;1;1;manganese ion transport;BP
GO:0000462;Pastreoides33480;-0.044139577;0.999502203;1;2;maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);BP
GO:0035821;Pastreoides10444, Pastreoides10537, Pastreoides10841, Pastreoides10842, Pastreoides10843, Pastreoides10844, Pastreoides10847, Pastreoides09317, Pastreoides09318;-0.000000194;0.999999987;9;39;modulation of process of other organism;BP
GO:0000818;Pastreoides32461;-0.022673008;1;1;1;nuclear MIS12/MIND complex;CC
GO:0016899;Pastreoides22333;-0.044660658;0.999490242;1;2;oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor;MF
GO:0008081;Pastreoides06474, Pastreoides06476;-0.007784812;0.999804286;2;4;phosphoric diester hydrolase activity;MF
GO:0045211;Pastreoides03383;-0.02266613;1;1;1;postsynaptic membrane;CC
GO:0006561;Pastreoides29974;-0.044172167;0.999501459;1;2;proline biosynthetic process;BP
GO:0018344;Pastreoides12470;-0.022081917;1;1;1;protein geranylgeranylation;BP
GO:0006487;Pastreoides48856;-0.022568845;1;1;1;protein N-linked glycosylation;BP
GO:0015078;Pastreoides27054;-0.022021949;1;1;1;proton transmembrane transporter activity;MF
GO:0033179;Pastreoides27054;-0.022021949;1;1;1;proton-transporting V-type ATPase, V0 domain;CC
GO:0004735;Pastreoides29974;-0.044172167;0.999501459;1;2;pyrroline-5-carboxylate reductase activity;MF
GO:0004663;Pastreoides12470;-0.022081917;1;1;1;Rab geranylgeranyltransferase activity;MF
GO:0005968;Pastreoides12470;-0.022081917;1;1;1;Rab-protein geranylgeranyltransferase complex;CC
GO:0052692;Pastreoides41170;-0.021939034;1;1;1;raffinose alpha-galactosidase activity;MF
GO:0051480;Pastreoides60648;-0.022006911;1;1;1;regulation of cytosolic calcium ion concentration;BP
GO:0034765;Pastreoides14774;-0.045300015;0.999475369;1;2;regulation of ion transmembrane transport;BP
GO:0019236;Pastreoides17650;-0.022741234;1;1;1;response to pheromone;BP
GO:0015279;Pastreoides60648;-0.022006911;1;1;1;store-operated calcium channel activity;MF
GO:0005164;Pastreoides25129, Pastreoides16373, Pastreoides24272, Pastreoides24274;-0.0043839;0.999489427;4;30;tumor necrosis factor receptor binding;MF
GO:0048278;Pastreoides38891;-0.043776801;0.999510444;1;2;vesicle docking;BP
GO:0008076;Pastreoides14774;-0.045300015;0.999475369;1;2;voltage-gated potassium channel complex;CC
